CLIPS> (facts)
f-0     (initial-fact)
f-1     (has-job John-Doe Teacher)
f-2     (address (name John-Doe) (firstname John) (middle_initial nil) (lastname Doe) (address1 13-Berry-Street) (address2 nil) (city Sheridan-Lake) (county nil) (state Colorado) (zipcode 81071) (country USA))
f-3     (has-medical-condition John-Doe Diabetes)
f-4     (has-health-insurance John-Doe Blue-Cross)
f-5     (has-bank-account John-Doe PNC-Bank)
f-6     (father-of John-Doe Steven-Doe)
f-7     (mother-of John-Doe Margarette-Doe)
f-8     (brother-of John-Doe Mark-Doe)
f-9     (is-dead Margarette-Doe)
f-10    (relationship-strength John-Doe Steven-Doe okay)
f-11    (relationship-strength John-Doe Mark-Doe good)
f-12    (has-friend John-Doe Jeremy-Pierce)
f-13    (relationship-strength John-Doe Jeremy-Pierce fair)
f-14    (has-friend John-Doe Dina-M-James)
f-15    (relationship-strength John-Doe Dina-M-James good)
f-16    (person John-Doe)
f-17    (person Steven-Doe)
f-18    (person Mark-Doe)
f-19    (person Margarette-Doe)
f-20    (person Jeremy-Pierce)
f-21    (person Dina-M-James)
f-22    (has-automobile John-Doe Chevy-Camero)
f-23    (has-laptop John-Doe dell-laptop)
f-24    (has-computer John-Doe office-computer)
f-25    (debt (debtor John-Doe) (creditor Fannie-Mae) (amount 3000) (type Student-Loan))
f-26    (debt (debtor John-Doe) (creditor Flaherty-Foot-Clinic) (amount 500) (type Medical))
f-27    (has-goal John-Doe "(is-self-reliant John-Doe)")
f-28    (has-fitness-plan John-Doe John-Doe-s-fitness-plan)
f-29    (has-student-loan-debt John-Doe)
f-30    (has-access-to-computer John-Doe office-computer)
f-31    (can-run-get-help John-Doe office-computer)
f-32    (has-access-to-computer John-Doe dell-laptop)
f-33    (can-run-get-help John-Doe dell-laptop)
f-34    (is-alive Dina-M-James)
f-35    (should-have-goal Dina-M-James "(has-financial-plan Dina-M-James)")
f-36    (is-alive Jeremy-Pierce)
f-37    (should-have-goal Jeremy-Pierce "(has-financial-plan Jeremy-Pierce)")
f-38    (should-have-goal Margarette-Doe "(has-financial-plan Margarette-Doe)")
f-39    (is-alive Mark-Doe)
f-40    (should-have-goal Mark-Doe "(has-financial-plan Mark-Doe)")
f-41    (is-alive Steven-Doe)
f-42    (should-have-goal Steven-Doe "(has-financial-plan Steven-Doe)")
f-43    (is-alive John-Doe)
f-44    (has-personal-relationship John-Doe Jeremy-Pierce)
f-45    (has-personal-relationship Jeremy-Pierce John-Doe)
f-46    (has-personal-relationship John-Doe Dina-M-James)
f-47    (has-personal-relationship Dina-M-James John-Doe)
f-48    (has-support-network John-Doe)
f-49    (should-have-goal John-Doe "(has-financial-plan John-Doe)")
f-50    (has-goal John-Doe "(has-financial-plan John-Doe)")
f-51    (is-related-to John-Doe Mark-Doe)
f-52    (is-related-to Mark-Doe John-Doe)
f-53    (has-personal-relationship Mark-Doe John-Doe)
f-54    (has-personal-relationship John-Doe Mark-Doe)
f-55    (is-related-to John-Doe Margarette-Doe)
f-56    (is-related-to Margarette-Doe John-Doe)
f-57    (is-related-to John-Doe Steven-Doe)
f-58    (is-related-to Steven-Doe John-Doe)
f-59    (has-personal-relationship Steven-Doe John-Doe)
f-60    (has-personal-relationship John-Doe Steven-Doe)
f-61    (has-access-to-a-bank-account John-Doe)
f-62    (must-pay-taxes John-Doe)
